Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
1,82,Yes,4,6,49.0
5,61,No,6,6,63.6
3,90,No,7,7,69.6
4,63,No,5,3,45.7
3,46,No,4,2,32.0
1,73,No,4,2,48.3
1,87,Yes,8,9,73.9
5,51,No,5,7,64.1
6,62,No,8,2,56.6
3,54,Yes,8,7,62.5
9,72,Yes,7,1,87.1
5,96,No,4,4,68.7
8,52,Yes,9,4,73.6
1,62,Yes,5,6,50.9
5,77,Yes,7,4,69.3
3,71,No,9,8,64.5
1,84,Yes,7,2,54.8
4,89,No,7,8,84.2
5,74,Yes,6,0,58.8
7,40,No,6,2,59.6
1,86,No,7,3,68.7
3,97,No,6,5,64.2
2,84,Yes,5,9,71.8
9,44,Yes,4,7,66.3
6,96,Yes,9,6,87.2
3,52,No,5,7,65.3
8,93,Yes,4,5,87.4
8,44,Yes,6,5,69.1
2,99,No,9,5,64.2
6,71,Yes,5,2,60.9
7,90,No,8,9,86.3
2,60,Yes,7,3,45.4
2,63,No,4,5,52.3
1,99,No,4,6,64.5
8,57,Yes,8,2,69.0
1,60,No,8,3,42.8
9,93,Yes,7,5,95.8
6,49,Yes,6,0,61.0
7,63,Yes,5,6,77.2
7,79,Yes,5,0,67.1
3,86,No,5,9,75.0
2,60,No,6,8,60.8
9,64,No,7,9,86.4
8,91,Yes,5,8,91.7
7,99,Yes,4,8,86.5
9,96,No,4,3,86.0
4,98,No,4,1,60.4
4,62,Yes,8,6,60.9
1,61,Yes,8,3,44.2
8,43,Yes,6,4,65.0
3,73,No,5,0,42.5
7,95,Yes,8,9,100.0
2,45,No,4,5,43.4
2,67,Yes,8,6,58.3
7,70,No,4,2,63.4
6,74,Yes,5,9,82.8
3,78,No,6,1,53.8
9,81,No,7,9,87.6
6,62,No,7,6,67.8
6,45,Yes,4,0,46.8
1,55,No,8,1,37.2
4,41,No,8,2,42.3
6,63,Yes,4,3,65.6
6,56,No,5,4,61.3
5,84,No,4,3,65.4
1,40,Yes,5,9,38.7
8,45,No,6,2,57.0
5,44,Yes,6,0,53.3
5,96,No,4,6,75.9
7,84,Yes,6,9,82.3
4,99,No,8,5,83.9
6,94,No,5,1,56.0
4,89,No,7,1,62.7
3,68,Yes,7,2,63.8
7,51,No,6,7,60.1
8,78,No,5,7,78.3
4,86,Yes,8,9,74.4
2,42,Yes,7,9,62.4
3,87,Yes,8,9,74.2
1,40,No,8,9,54.5
8,66,No,7,7,85.8
3,87,No,7,6,61.4
7,63,Yes,6,1,56.2
5,83,Yes,5,0,63.6
5,58,No,4,5,60.6
7,98,No,5,7,84.8
9,47,Yes,4,0,59.4
5,94,Yes,7,2,80.0
1,83,Yes,8,0,50.5
1,86,No,5,9,70.3
2,41,Yes,8,8,51.5
6,69,Yes,5,6,83.1
9,69,Yes,9,7,85.2
8,88,Yes,5,8,95.6
5,78,No,8,2,59.9
1,84,Yes,9,9,75.5
7,71,No,6,1,63.9
5,40,No,7,5,55.4
6,77,Yes,6,4,75.1
7,52,Yes,6,3,64.5
3,50,No,5,5,48.8
3,49,Yes,7,5,44.3
5,87,No,9,2,76.7
6,98,Yes,5,1,80.3
9,65,No,4,8,79.0
5,95,No,5,7,79.8
1,94,No,9,3,67.4
4,59,Yes,8,5,65.6
5,56,No,5,2,48.7
5,56,No,4,7,53.9
7,43,Yes,5,2,59.4
4,44,Yes,9,1,50.8
1,99,No,4,6,61.1
5,62,No,7,2,53.0
7,85,Yes,9,8,89.3
6,91,No,5,2,70.6
5,49,Yes,4,7,58.6
4,85,Yes,9,1,66.7
2,67,Yes,7,8,63.1
4,72,No,8,0,58.1
3,82,Yes,6,2,52.1
1,65,No,4,1,35.7
8,94,No,8,6,84.1
5,89,Yes,7,4,75.4
4,87,Yes,8,7,73.7
8,68,Yes,5,1,72.4
7,66,Yes,6,7,74.8
2,57,No,4,6,44.9
1,79,No,9,4,52.4
4,99,Yes,7,1,70.4
8,49,No,6,9,68.3
2,97,Yes,7,6,70.8
3,81,No,8,9,72.3
1,44,No,7,3,35.0
1,49,No,7,3,40.7
3,89,Yes,8,7,72.8
5,60,No,8,5,64.9
3,63,No,6,8,58.0
1,77,No,4,1,38.6
1,42,No,8,4,41.6
8,79,Yes,6,5,85.6
2,70,No,7,7,73.8
3,80,Yes,7,3,60.3
2,76,Yes,9,6,69.8
3,41,No,5,6,44.2
7,41,No,8,3,62.7
1,78,Yes,6,0,53.2
8,88,Yes,9,2,84.3
2,81,Yes,6,1,57.0
3,83,No,4,2,55.9
9,73,No,9,4,82.3
7,81,Yes,6,0,66.8
4,59,Yes,8,4,58.8
5,72,Yes,6,1,53.7
2,43,No,5,3,42.9
8,84,No,7,5,91.5
4,83,Yes,7,8,69.7
9,50,No,9,9,88.2
5,81,Yes,6,5,71.7
9,86,No,6,9,89.7
4,44,Yes,6,1,46.3
5,64,No,6,7,62.1
9,88,No,5,4,83.4
8,99,No,8,8,94.1
3,76,No,5,9,64.7
1,73,No,5,8,62.1
3,48,No,5,3,34.5
4,45,No,7,0,39.7
2,57,Yes,5,8,46.4
1,53,Yes,6,8,53.4
7,58,Yes,5,7,69.7
8,53,No,6,4,62.6
7,79,No,9,4,79.0
5,56,No,8,9,73.0
1,99,Yes,7,5,72.5
7,74,Yes,8,0,83.8
7,68,Yes,9,8,81.4
9,81,Yes,8,4,83.5
3,56,Yes,7,6,58.4
9,98,Yes,6,7,97.1
1,82,No,9,4,66.5
1,47,Yes,9,2,45.4
4,40,No,6,5,44.3
9,84,Yes,6,6,84.1
6,92,Yes,7,3,80.7
3,75,No,5,8,63.0
1,46,No,4,3,41.0
4,85,No,5,9,76.1
9,44,Yes,5,1,56.4
3,63,Yes,8,8,60.8
9,67,No,4,3,72.0
7,82,Yes,6,3,73.6
4,56,No,5,9,67.6
3,76,Yes,7,0,56.1
5,59,Yes,5,1,55.2
5,42,Yes,6,2,44.2
3,76,No,5,6,58.0
9,65,Yes,9,8,89.8
4,54,No,8,4,46.2
5,90,No,8,3,74.6
4,87,No,5,1,62.6
5,47,No,8,6,57.7
7,52,No,7,5,72.1
9,87,No,4,6,90.4
7,42,No,5,7,65.4
5,40,No,7,8,59.7
7,48,No,9,9,80.2
5,70,Yes,7,4,59.5
3,80,No,7,4,61.4
7,93,Yes,9,3,80.0
2,65,No,6,2,42.7
9,56,Yes,5,6,78.6
1,95,Yes,5,4,56.0
6,73,Yes,5,6,65.0
7,48,Yes,4,1,65.8
8,95,Yes,7,8,92.5
9,90,Yes,5,8,89.8
2,52,No,8,8,61.8
2,44,No,6,4,38.6
5,80,No,9,9,74.7
5,52,No,9,8,63.2
6,40,No,4,0,40.8
3,64,No,9,1,46.2
8,86,Yes,6,9,88.2
1,43,No,7,4,37.0
6,75,Yes,9,4,80.4
4,91,Yes,9,5,87.3
1,49,Yes,8,7,57.6
7,67,Yes,7,0,63.7
9,96,Yes,5,9,91.3
4,45,Yes,6,8,63.5
4,66,No,9,3,54.8
6,95,Yes,8,7,86.2
3,51,Yes,6,4,59.0
6,91,No,4,0,71.9
7,87,No,8,8,88.2
3,42,No,4,7,53.4
7,85,No,9,4,86.0
3,72,No,8,3,60.6
2,49,No,5,7,46.7
4,70,No,6,8,64.2
8,54,Yes,6,6,73.8
9,46,No,7,3,60.0
7,75,Yes,8,6,79.1
1,53,No,8,5,49.7
3,95,No,4,2,55.4
9,87,Yes,8,9,100.0
1,53,No,6,2,38.9
9,42,No,8,0,64.2
8,88,No,7,4,80.6
1,92,No,7,7,68.0
6,85,No,6,5,68.4
5,89,No,6,7,78.2
6,42,No,6,6,61.4
5,61,Yes,8,1,65.3
6,58,No,8,7,60.2
5,74,Yes,5,3,60.2
5,51,Yes,9,4,53.5
4,93,Yes,9,7,77.5
3,44,Yes,4,4,44.6
3,49,Yes,8,4,56.1
4,80,Yes,5,5,77.7
9,72,Yes,5,6,89.6
2,52,No,7,8,51.9
9,74,No,8,6,88.7
1,90,No,5,5,63.1
1,71,Yes,7,9,62.9
5,50,No,4,3,49.2
6,87,Yes,7,9,86.2
6,77,Yes,4,1,65.2
3,63,No,9,8,67.3
7,74,Yes,9,9,89.3
9,58,Yes,6,4,83.4
8,45,No,6,4,68.0
6,79,Yes,7,2,62.0
8,93,No,6,2,69.2
5,84,Yes,8,0,68.2
8,83,Yes,7,4,82.2
4,81,No,5,2,49.2
8,74,No,8,1,62.1
2,43,No,7,8,49.5
5,72,Yes,9,9,82.1
9,52,Yes,4,5,72.8
4,95,No,6,2,62.0
6,75,No,6,6,69.2
1,93,No,6,8,63.2
9,82,Yes,7,8,96.3
1,58,Yes,8,0,34.1
5,82,No,4,1,58.4
4,51,No,6,7,62.5
3,50,No,8,0,40.7
6,45,Yes,5,2,54.3
2,51,No,9,6,55.0
3,66,No,5,7,55.1
5,80,No,4,4,63.0
9,64,Yes,6,1,64.6
2,81,Yes,5,2,56.3
8,42,No,9,8,75.1
2,42,Yes,8,9,62.6
5,59,No,8,6,69.5
7,67,No,5,0,64.7
8,62,No,6,2,71.9
1,87,No,9,8,64.2
6,42,Yes,4,6,61.2
1,81,No,6,1,50.3
2,63,No,7,5,49.6
1,82,Yes,5,8,69.0
5,79,No,7,3,65.1
9,45,Yes,5,9,81.2
6,59,No,4,1,58.1
1,50,No,6,2,38.6
1,71,No,9,6,66.5
2,99,No,6,3,73.7
9,66,Yes,5,6,80.5
3,60,No,8,4,59.3
1,83,Yes,7,7,76.0
5,87,Yes,9,7,79.7
7,89,Yes,9,4,70.7
6,52,No,6,6,67.6
1,61,Yes,6,5,48.0
5,74,Yes,5,7,65.6
5,86,Yes,8,8,79.3
6,61,No,7,4,56.1
3,67,No,8,6,69.8
5,60,Yes,9,0,65.3
7,85,Yes,8,7,86.4
5,57,No,5,2,51.1
5,70,Yes,8,0,61.5
5,99,Yes,7,5,89.0
3,85,Yes,9,7,69.7
1,76,No,4,2,43.1
5,60,Yes,9,0,64.2
9,53,Yes,4,2,64.0
1,64,No,7,4,43.4
3,66,Yes,9,7,68.2
4,79,No,9,8,66.2
1,99,No,9,8,74.5
1,99,No,9,3,61.3
8,62,Yes,5,7,80.5
2,70,Yes,6,4,51.5
8,86,Yes,9,2,85.2
7,99,Yes,5,4,83.7
2,68,Yes,7,1,43.8
6,86,Yes,9,5,77.2
6,69,Yes,8,0,69.7
3,90,Yes,9,5,77.8
2,65,No,9,4,45.8
1,59,Yes,4,8,49.9
6,77,Yes,8,6,80.4
5,58,No,9,5,66.9
9,66,Yes,9,6,87.8
1,64,No,9,9,62.5
7,79,Yes,5,4,72.8
5,77,Yes,7,0,62.7
5,91,No,4,8,71.0
2,62,No,9,4,51.5
3,68,Yes,7,3,46.8
7,54,No,4,5,56.8
6,98,Yes,4,4,72.8
2,42,Yes,4,0,28.6
6,49,Yes,9,1,62.7
2,54,Yes,5,3,37.2
2,95,Yes,9,7,72.3
2,55,Yes,9,4,56.7
3,56,No,7,6,48.8
2,58,No,6,1,47.5
4,50,No,6,7,57.9
9,87,Yes,6,4,89.7
6,44,No,7,3,50.4
1,44,Yes,8,8,48.3
8,97,No,7,5,86.6
7,53,Yes,4,3,64.8
3,89,Yes,9,7,80.5
1,65,Yes,8,2,50.5
5,47,Yes,4,9,62.2
4,44,Yes,9,1,46.3
8,46,No,9,6,77.2
1,55,Yes,4,3,38.7
1,94,No,7,3,49.9
4,53,Yes,6,9,60.4
8,76,Yes,8,8,85.9
5,95,Yes,9,1,72.3
2,80,No,5,0,46.1
6,43,Yes,9,6,59.9
5,75,No,6,7,68.1
2,87,Yes,9,2,60.5
3,95,No,5,1,57.0
9,56,No,7,3,66.5
7,86,No,9,1,86.8
7,75,Yes,8,1,69.7
6,45,Yes,7,4,57.5
8,55,No,5,9,70.0
4,68,Yes,4,4,62.0
8,75,Yes,9,7,79.2
4,77,Yes,7,8,65.4
8,76,No,9,1,73.7
9,87,No,8,0,80.6
3,96,Yes,9,2,69.0
3,87,No,7,5,75.9
2,49,Yes,6,4,44.0
3,80,Yes,7,7,68.5
3,75,No,5,7,61.8
5,68,No,7,1,57.4
5,53,Yes,8,8,69.1
2,43,Yes,7,3,42.8
6,83,Yes,7,0,61.2
5,95,No,8,1,72.9
6,81,No,7,5,78.8
1,75,Yes,8,4,54.1
5,89,Yes,5,6,75.4
9,84,No,8,8,100.0
2,52,Yes,5,5,44.5
1,85,No,5,5,56.0
9,57,No,8,1,68.8
9,72,Yes,7,6,93.8
9,60,Yes,9,1,83.3
6,55,No,6,6,68.0
8,54,Yes,9,7,97.8
1,93,No,8,0,52.8
4,96,No,7,8,56.6
1,44,No,5,7,40.0
8,45,Yes,4,8,68.7
1,77,Yes,6,4,62.1
3,42,Yes,9,3,48.9
4,87,No,7,0,65.9
8,51,No,6,8,77.4
6,75,No,4,3,64.5
7,72,No,4,3,67.3
8,75,Yes,4,3,74.4
2,72,Yes,9,1,60.0
8,70,Yes,8,3,75.7
3,60,No,6,1,43.6
7,66,No,8,7,79.0
3,66,Yes,4,6,58.9
7,47,No,7,9,70.8
2,95,Yes,4,1,66.9
6,76,No,8,1,69.0
3,71,No,4,1,44.1
3,65,No,4,0,45.5
9,41,No,8,5,65.2
7,51,No,8,5,61.2
5,61,Yes,7,0,59.4
7,56,Yes,8,0,57.6
9,46,Yes,7,5,73.6
1,82,No,5,5,48.6
7,43,Yes,5,3,56.8
6,76,Yes,8,2,68.2
9,77,No,4,8,83.8
1,71,No,6,5,62.4
4,50,Yes,4,0,49.4
9,40,Yes,8,2,65.9
4,64,Yes,7,0,52.1
3,81,Yes,4,2,52.4
9,91,Yes,5,1,75.2
2,63,No,9,4,53.0
4,92,Yes,8,2,76.5
6,82,Yes,4,6,59.0
2,95,Yes,9,7,80.6
8,56,Yes,4,6,77.1
8,47,Yes,7,1,51.6
1,98,Yes,7,9,74.4
3,84,No,7,9,70.4
9,66,No,9,6,82.6
5,91,No,6,9,82.0
6,57,Yes,9,2,65.9
4,66,Yes,8,6,60.5
2,61,No,8,0,51.5
8,55,Yes,5,1,60.1
6,41,Yes,5,9,79.1
5,44,Yes,8,0,45.4
9,57,No,4,8,71.0
1,42,No,8,1,35.9
5,66,No,6,1,59.4
6,93,Yes,5,5,85.1
5,56,No,5,6,54.5
6,55,No,9,1,56.8
6,45,No,5,3,61.8
7,90,Yes,8,2,77.7
4,46,No,5,4,52.4
8,89,No,5,8,77.6
7,53,Yes,9,1,56.1
9,77,No,8,4,87.1
7,79,Yes,4,7,78.4
3,54,Yes,5,5,56.4
3,86,No,5,3,55.3
8,86,No,5,9,79.6
5,87,No,6,7,75.8
4,72,Yes,8,2,54.8
8,82,No,5,3,74.9
6,66,No,6,8,67.6
2,68,No,4,4,51.5
4,96,Yes,4,5,70.0
4,76,Yes,9,1,61.4
6,44,Yes,9,8,72.8
6,68,No,9,7,80.3
1,71,No,6,6,53.8
8,99,Yes,4,8,100.0
6,92,No,9,4,88.0
3,45,No,7,4,43.5
9,41,Yes,9,8,74.8
2,45,Yes,4,4,35.9
8,85,Yes,7,8,100.0
3,82,No,6,0,46.2
5,43,No,7,9,61.3
6,95,No,4,9,83.1
6,68,Yes,5,7,81.6
4,98,Yes,7,2,64.1
3,64,No,4,7,61.5
4,48,Yes,9,4,57.8
1,95,Yes,5,1,53.4
4,42,No,6,8,55.7
1,65,Yes,6,3,44.0
1,87,No,8,6,60.2
6,82,Yes,6,7,76.2
5,66,No,8,6,61.3
4,75,Yes,6,5,60.1
3,71,No,6,6,65.8
1,40,Yes,6,3,35.7
6,96,Yes,8,9,95.8
2,92,Yes,9,0,59.4
8,93,Yes,8,4,87.2
5,55,Yes,7,7,66.6
7,90,No,4,9,88.2
2,87,No,4,5,54.4
8,50,No,9,4,68.7
2,65,Yes,4,1,48.5
4,79,No,6,9,78.0
1,94,Yes,9,4,73.0
5,40,Yes,4,9,55.7
9,65,No,8,2,70.3
1,67,No,7,1,41.8
9,92,Yes,5,2,76.2
8,97,Yes,7,3,90.7
6,48,No,4,1,49.6
7,99,No,9,3,82.8
3,98,Yes,4,3,69.8
1,83,Yes,8,5,57.9
5,61,No,7,4,66.0
2,47,Yes,8,6,61.5
5,97,Yes,8,6,84.8
8,88,No,5,2,74.7
9,81,No,8,8,92.7
2,66,Yes,8,6,53.5
3,78,Yes,5,6,63.2
3,58,No,6,1,55.0
1,64,Yes,6,9,69.7
8,77,No,9,2,76.8
6,60,Yes,5,2,56.8
8,63,No,9,5,81.8
9,63,Yes,9,3,79.0
5,99,Yes,8,3,82.8
3,99,Yes,9,0,62.9
5,58,No,4,5,58.2
5,89,No,7,7,75.8
5,86,No,4,7,71.9
3,41,Yes,4,7,47.0
4,53,Yes,8,4,57.5
9,92,No,7,9,98.3
9,71,No,9,5,86.9
2,81,Yes,7,4,60.1
8,71,Yes,9,3,86.2
8,67,Yes,6,3,66.4
7,87,Yes,5,3,68.3
8,78,No,8,3,74.2
3,79,No,9,5,65.7
6,81,Yes,9,5,88.0
1,86,Yes,7,4,58.5
7,79,Yes,8,8,82.4
1,52,No,9,7,48.6
9,51,No,6,9,79.3
1,47,Yes,4,5,35.9
1,54,Yes,9,8,67.2
7,65,Yes,7,4,60.3
2,51,Yes,6,9,53.6
5,82,Yes,8,3,68.5
8,90,Yes,9,5,85.6
8,85,No,6,3,80.4
3,66,No,6,7,56.6
7,57,No,6,6,71.4
3,84,Yes,6,4,72.0
6,75,Yes,6,9,87.2
6,88,Yes,6,5,79.0
3,90,No,5,6,66.0
7,66,Yes,8,1,72.3
3,48,No,4,8,50.3
8,94,Yes,8,6,90.2
4,78,Yes,7,7,67.7
1,40,Yes,7,4,42.5
4,46,No,8,2,43.1
7,65,No,6,1,58.0
4,46,No,5,1,52.4
6,91,Yes,4,2,73.8
9,46,No,9,0,65.4
1,47,Yes,9,0,35.2
5,55,Yes,6,6,67.4
7,42,No,8,9,66.2
1,84,No,9,7,57.0
4,49,Yes,8,5,55.8
6,89,Yes,5,6,73.2
2,46,Yes,5,0,38.2
5,60,Yes,8,0,58.3
1,92,No,6,8,66.4
6,76,No,6,4,71.3
6,70,No,6,6,72.7
4,62,Yes,9,5,61.9
8,96,Yes,4,3,83.8
4,66,Yes,4,0,51.0
8,95,No,6,3,77.9
8,61,Yes,8,9,83.6
5,78,Yes,5,9,81.5
4,96,No,7,7,70.3
2,66,No,5,0,42.6
3,93,Yes,5,1,59.7
3,88,No,7,7,70.1
4,43,Yes,6,1,43.8
4,63,No,5,9,66.8
5,62,Yes,7,8,63.9
4,87,No,9,2,67.6
8,58,No,8,2,62.0
6,81,No,8,5,80.6
6,42,No,8,2,47.3
8,66,Yes,6,8,70.4
7,42,Yes,5,7,57.3
8,67,No,5,3,68.0
2,56,Yes,4,5,40.6
9,70,No,8,7,79.0
1,49,No,6,3,34.6
8,88,Yes,7,4,87.3
4,61,Yes,6,6,58.6
4,69,Yes,5,7,65.1
5,88,Yes,8,6,78.6
8,60,Yes,4,7,67.8
5,75,Yes,9,3,72.0
8,92,Yes,6,0,88.1
1,62,No,4,5,35.7
9,77,Yes,5,4,76.4
6,51,No,7,3,51.5
3,64,Yes,6,1,49.1
8,93,Yes,9,0,74.4
9,96,No,5,8,99.7
6,59,No,8,1,65.7
7,88,No,6,8,88.2
1,88,No,4,5,59.4
5,81,Yes,6,5,72.5
5,46,Yes,5,1,53.8
4,68,No,5,5,57.2
6,87,No,4,2,63.1
7,68,Yes,9,6,83.5
9,52,Yes,5,9,78.9
1,42,No,6,3,46.0
6,41,Yes,9,8,75.2
7,55,Yes,4,4,60.7
3,69,No,5,9,62.8
8,77,No,5,2,69.6
5,45,No,6,0,40.7
9,84,No,5,0,77.0
5,46,Yes,6,3,49.5
9,44,No,8,9,78.6
4,95,Yes,9,9,82.6
